Ветвь,Ток (А),Сопротивление (Ом),Напряжение (В),Мощность (Вт)
i1,-2.747253,3,-8.241758,22.642193
i2,0.832025,4,3.328100,2.769063
i3,-1.915228,10,-19.152276,36.680969
i4,-0.651491,4,-2.605965,1.697764
i5,-1.263736,6,-7.582418,9.582176
i6,-1.915228,3,-5.745683,11.004291
