Метод,i1 (А),i2 (А),i3 (А),i4 (А),i5 (А),i6 (А),P_ист (Вт),P_потр (Вт),Ошибка (Вт)
Законы Кирхгофа,2.500000,1.250000,1.250000,1.250000,2.500000,1.250000,87.500000,89.062500,1.562500
Контурные токи,4.049587,3.884298,0.061983,0.165289,-0.103306,7.933884,160.330579,298.599822,138.269244
Узловые потенциалы,2.500000,1.875000,1.625000,0.937500,1.041667,0.833333,93.750000,71.328125,22.421875
