Метод,i1 (А),i2 (А),i3 (А),i4 (А),i5 (А),i6 (А),P_ист (Вт),P_потр (Вт),Ошибка (Вт)
Законы Кирхгофа,-2.747253,0.832025,-1.915228,-0.651491,-1.263736,-1.915228,-74.097331,84.376456,158.473787
Контурные токи,4.049587,3.884298,0.061983,0.165289,-0.103306,7.933884,160.330579,298.599822,138.269244
Узловые потенциалы,1.563981,0.035545,1.563981,-0.047393,1.611374,3.285940,47.274882,79.783885,32.509003
